model,daily_mae,daily_rmse,n_obs
LightGBM_h30,3.1007412946534263,6.073308914139006,864
LightGBM_h75,3.1007412946534263,6.073308914139006,864
Ensemble_h30,3.146908854035923,5.80583956850295,864
NGBoost_h75,3.1923810785787574,6.58768392882938,864
Ensemble_h75,3.258962574132517,6.271629934997103,864
CES_h30,3.3458338970959733,6.0738969257906135,864
CES_h75,3.3458338970959733,6.0738969257906135,864
NGBoost_h30,3.3695791802576176,7.562102079093619,864
PatchTST_h75,3.4299546340625,6.19792252750255,864
NHITS_h30,3.4694517763703705,6.416967915486226,864
NHITS_h75,3.5010005105518984,6.375257880059135,864
XGBoost_h30,3.535442531540024,7.627878981208232,864
XGBoost_h75,3.535442531540024,7.627878981208232,864
MA7_h75,3.548776455026455,6.856024972260311,864
MA7_h30,3.548776455026455,6.856024972260311,864
PatchTST_h30,3.674029252269676,6.7090738218739,864
LSTM_h75,3.8943103523379627,6.887033350686505,864
SeasonalNaive_h30,4.131944444444445,7.674211263609995,864
SeasonalNaive_h75,4.131944444444445,7.674211263609995,864
LSTM_h30,4.139034849628472,7.746792469278096,864
Team_30d,5.013194444444444,9.454250562773534,864
